##ENCODING: csv
##X-Sampling: StartIndex,StepSize,NumberOfSteps
#26,4,15
##Y-Sampling: StartIndex,StepSize,NumberOfSteps
#13,4,15
##xindex,yindex,xcoord/m,ycoord/m,current/A
0,35,0.0,7.0E-5,9.250366397858544E-10
0,36,0.0,7.2E-5,9.249689697789083E-10
0,37,0.0,7.4E-5,9.250425814231506E-10
0,38,0.0,7.599999999999999E-5,9.250795118721944E-10
0,39,0.0,7.8E-5,9.251587351554636E-10
0,40,0.0,7.999999999999999E-5,9.251767943719198E-10
0,41,0.0,8.2E-5,9.252769917460859E-10
0,42,0.0,8.4E-5,9.252095191396732E-10
0,43,0.0,8.599999999999999E-5,9.25262106399574E-10
0,44,0.0,8.8E-5,9.251829960523008E-10
0,45,0.0,8.999999999999999E-5,9.252156375295474E-10
0,46,0.0,9.2E-5,9.251590722604273E-10
0,47,0.0,9.4E-5,9.251592903017927E-10
0,48,0.0,9.6E-5,9.251430753416551E-10
0,49,0.0,9.8E-5,9.251528085815225E-10
0,50,0.0,9.999999999999999E-5,9.251386820462901E-10
0,51,0.0,1.02E-4,9.250866308341431E-10
0,52,0.0,1.04E-4,9.250369156916949E-10
0,53,0.0,1.06E-4,9.250114453166018E-10
0,54,0.0,1.08E-4,9.249658748306952E-10
0,55,0.0,1.0999999999999999E-4,9.249346838133159E-10
0,56,0.0,1.12E-4,9.248619019219307E-10
0,57,0.0,1.1399999999999999E-4,9.248675964264097E-10
0,58,0.0,1.16E-4,9.248452030875617E-10
0,59,0.0,1.18E-4,9.247224308791989E-10
0,60,0.0,1.1999999999999999E-4,9.246257714040184E-10
0,61,0.0,1.22E-4,9.245527223545342E-10
0,62,0.0,1.24E-4,9.245087263265842E-10
0,63,0.0,1.26E-4,9.244711528646212E-10
0,64,0.0,1.28E-4,9.243472955490555E-10
0,65,0.0,1.3E-4,9.242952545395086E-10
0,66,0.0,1.3199999999999998E-4,9.242064311102671E-10
0,67,0.0,1.34E-4,9.241945753025685E-10
0,68,0.0,1.36E-4,9.240563825285251E-10
0,69,0.0,1.38E-4,9.239932275358751E-10
0,70,0.0,1.4E-4,9.239294204415645E-10
0,71,0.0,1.4199999999999998E-4,9.238687040415411E-10
0,72,0.0,1.44E-4,9.237831062295259E-10
0,73,0.0,1.46E-4,9.237186153996299E-10
0,74,0.0,1.48E-4,9.236304767573449E-10
0,75,0.0,1.5E-4,9.235904011379879E-10
0,76,0.0,1.5199999999999998E-4,9.234866865761214E-10
0,77,0.0,1.54E-4,9.234620858093753E-10
0,78,0.0,1.56E-4,9.232865912515186E-10
0,79,0.0,1.58E-4,9.232563902531914E-10
0,80,0.0,1.5999999999999999E-4,9.232337706406501E-10
0,81,0.0,1.6199999999999998E-4,9.231041878809101E-10
0,82,0.0,1.64E-4,9.230806702552616E-10
0,83,0.0,1.66E-4,9.230820608614734E-10
0,84,0.0,1.68E-4,9.229927487636241E-10
0,85,0.0,1.6999999999999999E-4,9.228662348236401E-10
0,86,0.0,1.7199999999999998E-4,9.22831594842157E-10
0,87,0.0,1.74E-4,9.227124264574637E-10
0,88,0.0,1.76E-4,9.227164449563985E-10
0,89,0.0,1.78E-4,9.226716603742904E-10
1,0,2.0E-6,0.0,9.228983193010175E-10
1,1,2.0E-6,2.0E-6,9.229636431035036E-10
1,2,2.0E-6,4.0E-6,9.230333184378989E-10
1,3,2.0E-6,6.0E-6,9.23092079351984E-10
1,4,2.0E-6,8.0E-6,9.231488456798653E-10
1,5,2.0E-6,9.999999999999999E-6,9.231823090135334E-10
1,6,2.0E-6,1.2E-5,9.232737943922952E-10
1,7,2.0E-6,1.4E-5,9.233191093382371E-10
1,8,2.0E-6,1.6E-5,9.233651348736351E-10
1,9,2.0E-6,1.8E-5,9.23488939170382E-10
1,10,2.0E-6,1.9999999999999998E-5,9.235362231194925E-10
1,11,2.0E-6,2.2E-5,9.236576546245861E-10
1,12,2.0E-6,2.4E-5,9.237149265429176E-10
1,13,2.0E-6,2.6E-5,9.237882722266249E-10
1,14,2.0E-6,2.8E-5,9.238808937256144E-10
1,15,2.0E-6,2.9999999999999997E-5,9.239722659055474E-10
1,16,2.0E-6,3.2E-5,9.240067381397273E-10
1,17,2.0E-6,3.4E-5,9.240646227075893E-10
1,18,2.0E-6,3.6E-5,9.24171514297406E-10
1,19,2.0E-6,3.7999999999999995E-5,9.241915355117891E-10
1,20,2.0E-6,3.9999999999999996E-5,9.242491646415644E-10
1,21,2.0E-6,4.2E-5,9.243794188549428E-10
1,22,2.0E-6,4.4E-5,9.244725644065303E-10
1,23,2.0E-6,4.6E-5,9.245009664080983E-10
1,24,2.0E-6,4.8E-5,9.245869917670993E-10
1,25,2.0E-6,4.9999999999999996E-5,9.247068209579894E-10
1,26,2.0E-6,5.2E-5,9.247148645348054E-10
1,27,2.0E-6,5.4E-5,9.247762521542609E-10
1,28,2.0E-6,5.6E-5,9.248590978903848E-10
1,29,2.0E-6,5.8E-5,9.249416409311123E-10
1,30,2.0E-6,5.9999999999999995E-5,9.250384855828578E-10
1,31,2.0E-6,6.2E-5,9.250632884395383E-10
1,32,2.0E-6,6.4E-5,9.251068685087776E-10
1,33,2.0E-6,6.599999999999999E-5,9.251556617496843E-10
1,34,2.0E-6,6.8E-5,9.25212323105878E-10
1,35,2.0E-6,7.0E-5,9.252266656069561E-10
